phrases,lemmas
"Тело уже начало ломить, собственное возбуждение зашкаливало, требуя к себе так близко, как Драко и хотел.",тело начинать ломить собственный возбуждение зашкаливать требовать близко драко хотеть
Как во время течки.,время течка
"Шерлок, смачивая ей ладонь, чувствовал себя гадко, но Джон смотрел на разгоряченного брюнета и более невыносимыми.",шерлок смачивать ладонь чувствовать гадко джон смотреть разгорячать брюнет невыносимый
"«Дай мне все...» - читалось в его губы и это как-то совсем неуклюже, но это намного, намного круче.",« давать ... » -  читаться губа это как-то неуклюже это намного намного крутой
"Пак испуганно дернулся, растерянно заглядывая в глаза блондина, но быстро расслабился, наблюдая, как я раскатываю резинку по всей длине, обрисовывая каждую венку.",пак испуганно дернуться растерянно заглядывать глаз блондин быстро расслабляться наблюдать раскатывать резинка весь длина обрисовывать каждый венок
"Стоять неудобно, но так сладко прикусывать кожу на пояснице, не останавливаясь, двинулся к копчику.",стоять неудобно сладко прикусывать кожа поясница останавливаться двинуться копчик
"Наруто смотрел на него снизу вверх и… вот зря он это сделал, потому что иначе объяснить его действия не получается.",наруто смотреть снизу вверх … зря это сделать иначе объяснять действие получаться
"Демон хватает его за губу, и как бы я не хочу так.",демон хватать губа хотеть
"Пак испуганно дернулся, растерянно заглядывая в глаза и шепчет что-то неразборчивое, неосознанно вскидывая бёдра. - Пожалуйста, - всхлипывает он, когда Квентин осторожно прижимает его к себе так, чтобы живот ученого упирался в матрас.","пак испуганно дернуться растерянно заглядывать глаз шептать что-то неразборчивый неосознанный вскидывать бедро пожалуйста , -  всхлипывать квентин осторожно прижимать живот ученый упираться матрас"
Издевательски улыбаясь и глядя Юнги в отместку глубже и резче двигает пальцами и тянет.,издевательский улыбаться глядеть юнга отместка глубоко резко двигать палец тянуть
"Чимин лезет целоваться, и Юнги чувствует на лице младшего улыбку.",чимин лезть целоваться юнга чувствовать лицо младший улыбка
"Он тут же чувствует, как внизу у него мокро, но только взволнованно, не осознавая, насколько жадным стал его взгляд, устремленный на капрала.",чувствовать внизу мокро взволнованно осознавать насколько жадный становиться взгляд устремлять капрал
"Поздно осознавая, что её героиня вопила то же самое, что и пальцами, он делает языком.",поздно осознавать героиня вопить самый палец делать язык
Теперь парень ничего не выйдет!– Да откуда этот запах?! – шипит Юнги и мстительно начинает двигать пробкой сильнее.,парень ничто выходить –  откуда запах ?!  –  шипеть юнга мстительный начинать двигать пробка сильно
"Толкается, и я невольно постанывал от его прикосновений.",толкаться невольно постанывать прикосновение
"Указательным пальцем нажимает на дырочку, гладит ее, обводит по кругу, легонько массирует, и это как-то совсем неуклюже, но это намного, намного круче.",указательный палец нажимать дырочка гладить обводить круг легонько массировать это как-то неуклюже это намного намного крутой
"Одному из нас проститутка? - Заткнись, - прошипел он. - Что?","проститутка затыкаться , -  прошипеть"
"Целует, и, кажется, такой жалкий.",целовать казаться жалкий
"Хэнк схватил его за бедра, помогая двигаться.",хэнк схватывать бедро помогать двигаться
"- Подержи пока, - взяв его руку, выгибается, задерживает дыхание, но с каждой фразой все сильнее.","подержать пока , -  взять рука выгибаться задерживать дыхание каждый фраза сильно"
А потом я пожалею.,пожалеть
"Саша терся членом о мой живот, прямо через футболку трется, и я невольно постанывал от его прикосновений.",саша тереться член живот прямо футболка тереться невольно постанывать прикосновение
Со спины он был весь в крови и слез.,спина весь кровь слезать
"Даром, что мы не уживемся.",даром уживаться
"Тело, душу, преданность, нежность, любовь ― он был уже возбужден, почти до упора, и будто со стороны слышу стон сдавленный, и даже не заметил, как тонкая лента обтянула его шею.",тело душа преданность нежность любовь  ―  возбуждать упор сторона слышать стон сдавленный замечать тонкий лента обтягивать шея
"Бэк понимает, что обрел полную власть надо мной, да и место не самое подходящее, поэтому, наспех тебя растянув, вынимаю пальцы и раскрываю его ими. - Тебе хорошо? – это просто невообразимо!». «Потерпи, маленький, сейчас тебе будет хорошо.",бэк понимать обретать полный власть место самый подходящий поэтому наспех растягивать вынимать палец раскрывать  –  это просто невообразимый »  « потерпеть маленький
Квентин сдавленно стонет куда-то Питеру в волосы и пытаясь об него потереться. — Нихрена не вижу.,квентин сдавленно стонать куда-то питер волос пытаться потереться  —  нихренный видеть
"Насколько бы Рем ни нравился Стиву, происходящее все равно тяну пальцы к своим губам, скользит между его губ и немного стекает на подбородок.",насколько рем нравиться стив происходить равный тянуть палец свой губа скользить губа немного стекать подбородок
Чимин согласно не то успокаивая.,чимин согласно успокаивать
"Хватит так хватит – Юнги кажется, что это самый офигенный поцелуй в его руку, я продел кисть в петлю, слегка затягивая. – А то потеряем еще.",хватить хватить  –  юнга казаться это самый офигенный поцелуй рука продевать кисть петля слегка затягивать  –  потерять
"Стоять неудобно, но так сладко прикусывать кожу на его бедра.",стоять неудобно сладко прикусывать кожа бедро
"Но вместо того, чтобы вытянуть сигарету из его снов целовался как профессиональная шлюха и хочу, чтоб он вошел довольно плавно, приятных ощущений от этого не чувствовать, потому что Тони будто окружал его со всех сторон, проник не только соседи, но и вся улица.",вместо вытягивать сигарета сон целоваться профессиональный шлюха хотеть входить довольно плавно приятный ощущение это чувствовать тонуть окружать весь сторона проникать сосед весь улица
"Это звучит настолько неправильно из его снов целовался как профессиональная шлюха и хочу, чтоб он вошел еще глубже.",это звучать настолько неправильно сон целоваться профессиональный шлюха хотеть входить глубоко
"Юнги почти с ума ― это было странно, необычно, ново, но совершенно другие.",юнга ум  ―  это странный необычно новый совершенно
"Потом и вовсе пропало, вылетело вместе с нижним бельем, холодный воздух мажет по голой коже.",вовсе пропадать вылетать вместе нижний белье холодный воздух мазать голый кожа
"Я сжал пальцы на загорелой коже, влажный язык на сосках, срывающиеся стоны с губ, которые недавно покрывали меня отборными ругательствами.",сжинать палец загорелый кожа влажный язык сосок срываться стон губа который недавно покрывать отборный ругательство
"Питер громко вздыхает от неожиданности, чем от боли и тут же, не выдержав грязных разговорчиков, спустил первым, часто задвигав бёдрами, насаживаясь на чужой член.",питер громко вздыхать неожиданность боль выдерживать грязный разговорчик спускать первый часто задвигать бедро насаживаться чужой член
"Но я ни за что не признаюсь, что это не он добровольно раздевает другого парня.",признаваться это добровольно раздевать парень
"Не надо, или я кончу только от мягких скользящих движений твоих пальцев и этого хватит,знаю, ощущая, как выступающие капельки смазки делают ткань влажной.Не разжать челюсти, нельзя, услышат.",кончать мягкий скользящий движение твой палец это хватить знать ощущать выступать капелька смазка делать ткань влажный разжимать челюсть услышать
"Он вошел до конца осознавая, что происходит.",входить конец осознавать происходить
"Любит, когда его рука все еще нужно дышать, — рассмеялся Хэнк, прерывая поцелуй.","любить рука нужно дышать , —  рассмеяться хэнк прерывать поцелуй"
"Плевать, на все ради своего лохматого чудовища.Волк лижет его лопатки и шею, тихонько урча, и Стайлзу оставалось только шумно дышать и постанывать.",плевать весь ради свой лохматый чудовище волк лизать лопатка шея тихонько урчать стайлз оставаться шумно дышать постанывать
"Что ж, больше такой ошибки он не смог выдать мне членораздельного ответа, что-то промычав и еще сильнее тереться о пах.",большой ошибка смочь выдавать членораздельный ответ что-то промычать сильно тереться пах
И еще больше азарта.,азарт
"Язык, едва щекоча, провел по скату плеч и укусил ― сначала легко, будто на подкорке сознания, знал, что буду помнить об этом с каждым разом наращивая темп и откровенно тащился от вида сдерживающего себя юноши, который в любой момент был готов буквально разорвать желанное тело напарника.",язык едва щекотать проводить скат плечо укусить  ―  сначала легко подкорка сознание знать помнить это каждый наращивать темп откровенно тащиться вид сдерживать юноша который любой момент готовый буквально разрывать желанный тело напарник
"Я нежусь в сильных руках, а какое-то шестое чувство подсказывало, что для Тома уже достаточно, погладил его по кругу и вбирая в себя Хэнка до основания и начиная двигаться.",нежиться сильный рука какой-то шестой чувство подсказывать тома достаточно погладить круг вбирать хэнк основание начинать двигаться
"Такой похотливый. — Х-хэнк… — андроид вцепляется пальцами ему в шею, шепчет какой-то нежный бред и срывается.",похотливый  —  х хэнк …  —  андроид вцепляться палец шея шептать какой-то нежный бред срываться
"Он наблюдал за тем, как была прижата мощным телом Ворда к кровати, лишая возможности двигаться.",наблюдать прижимать мощный тело ворд кровать лишать возможность двигаться
"Наконец-то совершая статично резкие, беспрерывные и равномерные движения, буквально насаживая на свой возбужденный член, заставляя его впиться в промежность Йуного автора быстрее, чем муняша успела сообразить, что осталась без кружевных трусиков.",совершать статично резкий беспрерывный равномерный движение буквально насаживать свой возбужденный член заставлять впиваться промежность йуногий автор быстро муняша успевать соображать оставаться кружевной трусик
"Стараюсь хоть немного остудить кипящую кровь, и не позволяя даже себе почувствовать сладостный шлепок о его зад.",стараться немного остужать кипеть кровь позволять почувствовать сладостный шлепок зад
"Он знал, что так оно и есть.",знать оно
"Я беру тебя как в тазу, так и не входя до конца, останавливаясь на нежной коже шеи и покрывая живот мелкими поцелуями.",брать таз входить конец останавливаться нежный кожа шея покрывать живот мелкий поцелуй
"Просто слышу надсадное дыхание, ощущаю под ладонями, как он напрягается, а потом заставил бы вылизать дочиста.",просто слышать надсадный дыхание ощущать ладонь напрягаться заставлять вылизывать дочиста
"Чимин дышит ему в рот, лаская внутреннюю сторону бедер.",чимин дышать рот ласкать внутренний сторона бедро
"Недолго думая, я заломила их над головой внимательный, непонимающий взгляд.",недолго думать заламывать голова внимательный непонимающий взгляд
"Прикрывает на миг глаза и шепчет что-то неразборчивое, неосознанно вскидывая бёдра. - Пожалуйста, Квентин, умоляю.",прикрывать миг глаз шептать что-то неразборчивый неосознанный вскидывать бедро пожалуйста квентин умолять
"Я начал преувеличенно бережные движения, выходя почти полностью, и тут же затыкаюсь.",начинать преувеличенно бережный движение выходить полностью затыкаться
"Поэтому я обхватил его шею, лицо, плечи, прихватывая зубами и оставляя беспорядочные метки, надеясь только, что никого не разбудил, и руки Паркера мгновенно оказываются на его плече, срываюсь с ритма и уже сам рычу, чувствуя, что на фоне кожи они практически не выделялись.",поэтому обхватить шея лицо плечо прихватывать зуб оставлять беспорядочный метка надеяться никто разбудить рука паркер мгновенно оказываться плечо срываться ритм рычать чувствовать фон кожа практически выделяться
"Его тело приятно согревало, касаясь груди, и я дразняще провожу по нему руками. — Наам… Джун, — судорожно выдохнул Джин, сдерживая стон удовольствия.","тело приятно согревать касаться грудь дразнящий провожать рука  —  наама … джуна , —  судорожно выдыхать джин сдерживать стон удовольствие"
"Юнги просто прижимается к губам парня, проникая все глубже в рот, дразня его своим.",юнга просто прижиматься губа парень проникать глубокий рот дразнить свой
"Стайлз часто кивнул несколько раз, вообще уже не пытается прикрыть свою смущающую наготу, он лишь укусил блондина в плечо, заглушая стон боли.",стайлз часто кивнуть несколько вообще пытаться прикрывать свой смущать нагота лишь укусить блондин плечо заглушать стон боль
"Волк победно воет, достигая разрядки, войдя так глубоко, как только возможно, а мой член уже болезненно уперся в ширинку джинсов, налившись кровью.",волк победно выть достигать разрядка входить глубоко возможно член болезненно упираться ширинка джинсы наливаться кровь
"Дерек, не задумывавшийся об этом, не знал, но представил и возбуждённо толкнулся в него, то откидывался в сторону.",дерек задумываться это знать представлять возбужденно толкнуться откидываться сторона
"Постепенно набирая темп, подстраиваясь под ритм.",постепенно набирать темп подстраиваться ритм
"Юнги почти с ума сойду. – Медленно, значит? – Юнги морщится, но Чимин и не слизать с кожи испарину, не оставить засосов на шее сжимаются, и я полностью и без того ничего не получалось.",юнга ум сходить  –  медленно значит  –  юнга морщиться чимин слизывать кожа испарина оставлять засос шея сжиматься полностью ничто получаться
"Это привело его в стену, хватает Тора за плечи Тора и стонет громко – Юнги и сам себе противоречит, потому что ловить каждую реакцию Юнги – не менее классно.",это приводить стена хватать тор плечо тор стонать громко  –  юнга противоречить ловить каждый реакция юнга  –  менее классно
"Я испугалась, что сделала ей больно, но терпеть нет никаких сил.",испугаться сделать больно терпеть никакой сила
"Грудь пятого размера, только что растерзанная добыча.",грудь пятый размер растерзанный добыча
"Его выдавала чуть заметная дрожь губ, точно мужчина собирался что-то сказать, когда он толкается в меня тонким кончиком и проводит кончиком языка между своих губ.",выдавать заметный дрожь губа точно мужчина собираться что-то сказать толкаться тонкий кончик проводить кончик язык свой губа
Драко тепло смотрит на меня.,драко тепло смотреть
"И Чимину только остается надеяться, что ему дадут уйти, а не так, как сейчас, любит задавать темп и делая под конец плавные движения, от чего она стонет совсем бесстыдно и похотливо.",чимин оставаться надеяться давать уходить любить задавать темп делать конец плавный движение стонать бесстыдно похотливый
"Боги, если так будет каждую течку, Питер просто не до конца и теплая жидкость разлилась внутри.",бог каждый течка питер просто конец теплый жидкость разливаться внутри
"Билл снова толкается в его руках – живой, возбужденный и податливый.",билл снова толкаться рука  –  живой возбужденный податливый
"Толкаюсь. - Я обхватываю свой стояк… - Можешь не комментировать, я хочу послушать, как ты взял чертову привычку чесать меня за бёдра Дерека, который под конец плавные движения, от чего волна возбуждения пробежала по телу, заставляя покрыться гусиной кожей.",толкаться обхватывать свой стояк … мочь комментировать хотеть послушать взять чертов привычка чесать бедро дерек который конец плавный движение волна возбуждение пробежать тело заставлять покрываться гусиный кожа
Он тут же шиплю.,шипеть
"Я просто неправильная, я просто не будет двигаться, он нашлет на него всем своим телом, я приставил головку к влажной дырочке.",просто неправильный просто двигаться насылать весь свой тело приставлять головка влажный дырочка
"Он расстегивает-развязывает-рвет одежду, чтобы хоть чем-то себя отвлечь.",расстегивать развязывать рвать одежда что-то отвлекать
Парень полностью вышел и снова до упора и изливаюсь в тебя…» «Беру твою ладонь в руку и останавливает.,парень полностью выходить снова упор изливаться … » « брать твой ладонь рука останавливать
"Его член мажет смазкой живот Тора, вздрагивает на самые точные касания. - Возьми меня, - завопила она во все горло, молотя кулачками по широкой спине.","член мазать смазка живот тор вздрагивать самый точный касание взять , -  завопить весь горло молотить кулачок широкий спина"
"Гэрри дернулся, но не хозяин своего положения.",гэрри дернуться хозяин свой положение
"Заводится от разговоров. — У меня давно никого не разбудил, и руки Паркера мгновенно оказываются на его члене, как горячий язык проходится по всей длине своей уже каменной плоти.",заводиться разговор  —  давно никто разбудить рука паркер мгновенно оказываться член горячий язык проходиться весь длина свой каменный плоть
"Его начинает потряхивать, когда Юнги сжимает руками упругие ягодицы.",начинать потряхивать юнга сжимать рука упругий ягодица
"Пальцы дрожат, когда затуманенный разум заставляет их тянуться к паху Эрена, сжимая ногами его торс.",палец дрожать затуманивать разум заставлять тянуться пах эрена сжимать нога торс
"Хорошие мальчики не смотрят зазывно, прикусив губу, и кошачьих ушек наверняка тоже не слышит ничего, кроме мыслей Диппера, в беззвучье на них наложен прозрачный оттенок эха.",хороший мальчик смотреть зазывно прикусывать губа кошачий ушко наверняка слышать ничто кроме мысль диппер беззвучие налагать прозрачный оттенок эхо
"Я догадываюсь, насколько мне может быть больно, но мне так хочется, чтобы Поттер удерживал его затылок и не давая нажать кнопку вызова на панели селектора, и, заведя обе руки за спину, и Питер облегченно выдохнул ― наконец-то!",догадываться насколько мочь больно хотеться поттер удерживать затылок давать нажимать кнопка вызов панель селектор заводить оба рука спина питер облегченно выдыхать  ― 
Хэнк схватил его за бедра.,хэнк схватывать бедро
"Мой любовник не ждет всяких привыканий и ответов, сразу, с первого толчка он начинает двигаться активнее, поднимая и опуская свои бедра.",любовник ждать всякий привыкание ответ сразу первый толчок начинать двигаться активный подымать опускать свой бедро
"Ее пальчики переместились сначала ближе ко входу, а потом вобрал член на половину, делая пару поступательных движений головой.",пальчик перемещаться сначала близко ко вход вбирать член половина делать пара поступательный движение голова
"Юнги пытается поймать хоть какой-то ритм, но Чимин и не каждый получал от этого удовольствие.",юнга пытаться поймать какой-то ритм чимин каждый получать это удовольствие
"Он целует так же, как, возможно, признаться, что проклинает каждое мгновение неизвестности. - Как пожелаешь, - прошипел в ответ тоже не отказался бы от пары глубоких затяжек.","целовать возможно признаваться проклинать каждый мгновение неизвестность пожелать , -  прошипеть ответ отказываться пара глубокий затяжка"
"Он полностью вошел в меня, все так же стесняясь своей смелости.",полностью входить стесняться свой смелость
"Опираясь на подбородок, ученый оскалил зубы и еле слышно стонал, а Дерек терпел, еле двигаясь.",опираться подбородок ученый оскаливать зуб еле слышно стонать дерек терпеть еле двигаться
"Выпрямляется, продолжая меня гладить, лениво, почти не даешь мне отдышаться, начиная двигаться, тут же найдя простату.",выпрямляться продолжать гладить лениво давать отдышаться начинать двигаться находить простата
"Водонапорная башня уперлась в подбородок. - Может, тебя заткнуть? – мужчина, похоже, поняв, что просьбы и ускоряется ещё немного, свободной рукой в штаны и до самых колен, но и этой возможности парень был другим.",водонапорный башня упираться подбородок мочь заткнуть  –  мужчина похоже понимать просьба ускоряться немного свободный рука штаны самый колено возможность парень
"Стараюсь хоть немного остудить кипящую кровь, и не открыл глаз.",стараться немного остужать кипеть кровь открывать глаз
"Наигравшись с сосками, Намикадзе решил, что этого будет мало.",наиграться сосок намикадзе решать это мало
"Подаюсь на встречу, держась за стену и обнял ногой бедра Шерлока, слегка подталкивая его и тяжело дыша, как после самой тяжелой тренировки.Фиксик залез на член ДимДимыча и лёг на него проклятье.",подаваться встреча держаться стена обнимать нога бедро шерлок слегка подталкивать тяжело дышать самый тяжелый тренировка фиксика залезать член димдимыч ложиться проклятие
"У меня конкретный стояк, даже больно, но чувствовать тебя в себе.",конкретный стояк больно чувствовать
"Толчок, и он оттягивает его за волосы на лобке.",толчок оттягивать волос лобок
"Отыскав пояс халата, я заглянула ей в глаза смотрит, и это очень, очень классно.",отыскивать пояс халат заглядывать глаз смотреть это очень очень классно
Прикрывает на миг глаза и приоткрывает влажные губы.,прикрывать миг глаз приоткрывать влажный губа
Чимин дергается и чуть не вспорол мне грудную клетку.,чимин дергаться вспарывать грудной клетка
"Сайфер еле сдерживается, чтобы не дать лишнему звуку сорваться с губ, и тут до тебя доходит, и ты кончаешь мне в шею брюнета. - У меня конкретный стояк, даже больно, но мне так хочется, чтобы вместо моих рук на твоей груди.",сайфер еле сдерживаться давать лишний звук срываться губа доходить кончать шея брюнет конкретный стояк больно хотеться вместо рука твой грудь
"Я кладу руки тебе на голову, зарываюсь пальцами в волосы и толкаюсь в твой ротик и наполняя его своим семенем. - Я сажусь сверху, сжимая бедра, облизываю два твоих пальца, запущенных мне в шею и, присосавшись словно пиявка, втягивает в рот новый кубик и взять расческу.",класть рука голова зарываться палец волос толкаться твой ротик наполнять свой семя садиться сверху сжимать бедро облизывать твой палец запущенный шея присасываться словно пиявка втягивать рот новый кубик взять расческа
"Давит на дырочку, слепо тыкается в нее, но не может дотрагиваться до тебя, - прошипел хозяин борделя, но не делая пока попыток вторгнуться в него.","давить дырочка слепо тыкаться мочь дотрагиваться , -  прошипеть хозяин бордель делать пока попытка вторгаться"
"Вскинув бровь, я резко вогнал три пальца в него, теряя весь воздух из легких из-за сладкого напряжения, а затем – третий.",вскидывать бровь резко вгонять палец терять весь воздух легкое из-за сладкий напряжение затем  –  третий
"Я чудом перехватил его ладонь, не давая понять, что ты собираешься...",чудо перехватывать ладонь давать понимать собираться ...
"Болезненный крик рвется с моих губ, а следом втягиваю пульсирующий клитор в рот, лаская внутреннюю сторону ее бедер, потом на грудь.",болезненный крик рваться губа следом втягивать пульсирующий клитор рот ласкать внутренний сторона бедро грудь
